Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
56,0.6875,0.775462963,0.6875,0.836941,0.535570028,0.790358104,0.704247104,0.776061776,0.694980695
57,0.6875,0.770833333,0.678240741,0.836830415,0.538344633,0.788891858,0.704247104,0.776061776,0.68957529
58,0.6875,0.773148148,0.6875,0.836818301,0.534581018,0.785922461,0.704247104,0.777606178,0.701158301
59,0.6875,0.773148148,0.678240741,0.836679064,0.529365628,0.781870476,0.704247104,0.776061776,0.688803089
60,0.6875,0.775462963,0.69212963,0.836753484,0.527632524,0.778884803,0.704247104,0.776833977,0.692664093
61,0.6875,0.775462963,0.680555556,0.83651139,0.527620775,0.775609643,0.704247104,0.777606178,0.692664093
62,0.6875,0.775462963,0.680555556,0.836763027,0.524553338,0.771896861,0.704247104,0.776833977,0.693436293
63,0.6875,0.775462963,0.719907407,0.836619952,0.523823278,0.769964393,0.704247104,0.777606178,0.72046332
64,0.6875,0.773148148,0.6875,0.836713593,0.521740737,0.760354706,0.704247104,0.777606178,0.703474903
65,0.6875,0.775462963,0.724537037,0.836507595,0.520350978,0.757946984,0.704247104,0.776061776,0.728185328
66,0.6875,0.775462963,0.724537037,0.836472584,0.518327231,0.751914768,0.704247104,0.779150579,0.728185328
67,0.6875,0.775462963,0.731481481,0.836556097,0.516993293,0.745329478,0.704247104,0.777606178,0.728185328
68,0.6875,0.770833333,0.724537037,0.836504658,0.520045902,0.739071897,0.704247104,0.777606178,0.728185328
69,0.6875,0.773148148,0.731481481,0.836416497,0.515825967,0.73272802,0.704247104,0.778378378,0.732818533
70,0.6875,0.770833333,0.722222222,0.836515149,0.514092039,0.725322703,0.704247104,0.774517375,0.72972973
71,0.6875,0.770833333,0.726851852,0.836474051,0.512414151,0.720651551,0.704247104,0.775289575,0.730501931
72,0.6875,0.777777778,0.731481481,0.836268331,0.51035754,0.713276609,0.704247104,0.783011583,0.736679537
73,0.6875,0.773148148,0.729166667,0.836343991,0.510353335,0.705918261,0.704247104,0.776833977,0.741312741
74,0.6875,0.775462963,0.736111111,0.836335173,0.508526532,0.697165862,0.704247104,0.776833977,0.742857143
75,0.6875,0.770833333,0.733796296,0.836313872,0.507323583,0.692963829,0.704247104,0.776833977,0.74980695
76,0.6875,0.777777778,0.736111111,0.836179357,0.508068784,0.690084168,0.704247104,0.779150579,0.748262548
77,0.6875,0.777777778,0.759259259,0.836139728,0.507463819,0.677169643,0.704247104,0.77992278,0.772200772
78,0.6875,0.773148148,0.736111111,0.836143892,0.504315808,0.668965307,0.704247104,0.779150579,0.752895753
79,0.6875,0.770833333,0.740740741,0.835981498,0.503523624,0.666303048,0.704247104,0.783011583,0.760617761
80,0.6875,0.780092593,0.75462963,0.835769794,0.502493209,0.65887581,0.704247104,0.780694981,0.772200772
81,0.6875,0.775462963,0.743055556,0.835769714,0.503624777,0.653263895,0.704247104,0.77992278,0.762934363
82,0.6875,0.777777778,0.752314815,0.835793536,0.501345575,0.645762483,0.704247104,0.77992278,0.771428571
83,0.6875,0.768518519,0.747685185,0.835921617,0.501016514,0.641607123,0.704247104,0.783783784,0.768339768
84,0.6875,0.770833333,0.752314815,0.835051944,0.498384633,0.637551699,0.704247104,0.783011583,0.771428571
85,0.6875,0.773148148,0.75462963,0.83461043,0.49794181,0.637722147,0.704247104,0.780694981,0.776833977
86,0.6875,0.777777778,0.74537037,0.834153375,0.496221083,0.629610428,0.704247104,0.77992278,0.773745174
87,0.6875,0.775462963,0.759259259,0.833076828,0.500498248,0.623819432,0.704247104,0.780694981,0.783783784
88,0.6875,0.773148148,0.747685185,0.83209307,0.497497674,0.618068005,0.704247104,0.781467181,0.772972973
89,0.6875,0.768518519,0.756944444,0.828971599,0.494321928,0.614548518,0.704247104,0.783783784,0.782239382
90,0.6875,0.777777778,0.747685185,0.824321092,0.496427298,0.611024705,0.704247104,0.783783784,0.772200772
91,0.6875,0.763888889,0.759259259,0.81633358,0.49753117,0.605298523,0.704247104,0.785328185,0.783011583
92,0.6875,0.775462963,0.747685185,0.800271292,0.494060037,0.601099699,0.704247104,0.785328185,0.773745174
93,0.6875,0.766203704,0.75462963,0.782628225,0.494556216,0.599297534,0.704247104,0.783783784,0.783011583
94,0.6875,0.775462963,0.747685185,0.765389124,0.492840761,0.594106993,0.704247104,0.783783784,0.775289575
95,0.6875,0.782407407,0.75,0.746964641,0.493704918,0.592454981,0.704247104,0.782239382,0.781467181
96,0.6875,0.768518519,0.763888889,0.729938149,0.491414347,0.587725137,0.704247104,0.786100386,0.784555985
97,0.6875,0.773148148,0.74537037,0.712853635,0.490490199,0.585622275,0.704247104,0.784555985,0.776061776
98,0.6875,0.770833333,0.75462963,0.697529121,0.489387054,0.583216173,0.704247104,0.783783784,0.783783784
99,0.6875,0.777777778,0.75462963,0.682369746,0.488453116,0.579930495,0.704247104,0.783783784,0.785328185
Learning Rate: 0.01, Max Iterations: 200, Num Hidden Layers: 2,,,,,,,
Iteration,Set 3 Testing Logistic Accuracy,Set 3 Testing TanH Accuracy,Set 3 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 3 Training Logistic Accuracy,Set 3 Training TanH Accuracy,set 3 Training ReLu Accuracy
0,0.034722222,0.680555556,0.666666667,1.469441184,1.262518778,1.324076546,0.038610039,0.696525097,0.69034749
1,0.68287037,0.69212963,0.560185185,1.321381906,1.107785308,1.136055846,0.694208494,0.702702703,0.564478764
2,0.69212963,0.69212963,0.527777778,1.209751153,1.013734442,1.070207047,0.702702703,0.702702703,0.535135135
3,0.69212963,0.69212963,0.590277778,1.11824714,0.955776366,1.012557547,0.702702703,0.702702703,0.595366795
4,0.69212963,0.69212963,0.643518519,1.047408578,0.915747484,0.960875424,0.702702703,0.702702703,0.661776062
5,0.69212963,0.69212963,0.659722222,0.992751921,0.887969105,0.919762856,0.702702703,0.702702703,0.681081081
6,0.69212963,0.69212963,0.666666667,0.952238497,0.869188967,0.88928078,0.702702703,0.702702703,0.688030888
7,0.69212963,0.69212963,0.673611111,0.921301995,0.855994124,0.864793969,0.702702703,0.702702703,0.69034749
8,0.69212963,0.69212963,0.673611111,0.899599476,0.847782115,0.847158538,0.702702703,0.702702703,0.691119691
9,0.69212963,0.69212963,0.680555556,0.883022009,0.843274195,0.832628862,0.702702703,0.702702703,0.694980695
10,0.69212963,0.69212963,0.685185185,0.870516762,0.839809296,0.8203303,0.702702703,0.702702703,0.695752896
11,0.69212963,0.69212963,0.685185185,0.861858965,0.837897274,0.810056167,0.702702703,0.702702703,0.698841699
12,0.69212963,0.69212963,0.68287037,0.855242387,0.836356761,0.798716484,0.702702703,0.702702703,0.695752896
13,0.69212963,0.69212963,0.680555556,0.850214737,0.835259639,0.787390074,0.702702703,0.702702703,0.694980695
14,0.69212963,0.69212963,0.678240741,0.846321188,0.834509706,0.774871568,0.702702703,0.702702703,0.694980695
15,0.69212963,0.69212963,0.673611111,0.843396758,0.833986868,0.761246304,0.702702703,0.702702703,0.692664093
16,0.69212963,0.69212963,0.671296296,0.841313602,0.833619589,0.746019864,0.702702703,0.702702703,0.687258687
17,0.69212963,0.69212963,0.666666667,0.839396699,0.833451094,0.729238519,0.702702703,0.702702703,0.681081081
18,0.69212963,0.69212963,0.668981481,0.837808818,0.833120434,0.712215461,0.702702703,0.702702703,0.67953668
19,0.69212963,0.69212963,0.69212963,0.836490617,0.832859805,0.697025761,0.702702703,0.702702703,0.702702703
20,0.69212963,0.69212963,0.69212963,0.835558897,0.832996676,0.682627227,0.702702703,0.702702703,0.702702703
21,0.69212963,0.69212963,0.680555556,0.834918445,0.832811935,0.670765871,0.702702703,0.702702703,0.694208494
22,0.69212963,0.69212963,0.678240741,0.833632231,0.832625699,0.659688897,0.702702703,0.702702703,0.68957529
23,0.69212963,0.69212963,0.680555556,0.832502551,0.832621449,0.649421148,0.702702703,0.702702703,0.705791506
24,0.69212963,0.69212963,0.68287037,0.830870925,0.832625169,0.640551728,0.702702703,0.702702703,0.708880309
25,0.69212963,0.69212963,0.68287037,0.828341243,0.832568467,0.632914025,0.702702703,0.702702703,0.708880309
26,0.69212963,0.69212963,0.68287037,0.822632245,0.83267117,0.627216135,0.702702703,0.702702703,0.708880309
27,0.69212963,0.69212963,0.701388889,0.813965768,0.832584028,0.621227464,0.702702703,0.702702703,0.714285714
28,0.69212963,0.69212963,0.710648148,0.801853569,0.832571812,0.616780825,0.702702703,0.702702703,0.72046332
29,0.69212963,0.69212963,0.706018519,0.785229907,0.832485563,0.610918856,0.702702703,0.702702703,0.72046332
30,0.69212963,0.69212963,0.708333333,0.765135402,0.832695132,0.609553431,0.702702703,0.702702703,0.723552124
